name	city	value	year	month	day
FushunOpen2018	辽宁	114	2018	1	28
CubingTainan2018	台湾	62	2018	1	28
InnerMongoliaWinter2018	内蒙古	122	2018	2	3
HsinchuWinterOpen2018	台湾	72	2018	2	4
YangjiangOpen2018	广东	88	2018	2	10
DongguanOpen2018	广东	155	2018	3	4
KaohsiungSpringOpen2018	台湾	40	2018	3	11
HangzhouSpring2018	浙江	141	2018	3	17
GDSYOpen2018	广东	250	2018	3	24
HubeiUniversityShahuSpring2018	湖北	107	2018	3	25
QingdaoOpen2018	山东	110	2018	3	25
MoreThanOneCube2018	上海	39	2018	3	31
CrossstraitCubingExchange2018	广东	176	2018	4	6
XianCherryBlossom2018	陕西	302	2018	4	6
AllisWell2018	台湾	35	2018	4	14
LuoyangSpring2018	河南	102	2018	4	15
KunshanOpen2018	江苏	141	2018	4	21
LanzhouOpen2018	甘肃	73	2018	4	22
QinhuangdaoOpen2018	河北	120	2018	4	22
ChangshaXiangmo2018	湖南	106	2018	4	29
ChengduOpen2018	四川	181	2018	4	29
BeijingOpen2018	北京	438	2018	4	30
GuangdongOpen2018	广东	284	2018	4	30
NanjingSpring2018	江苏	335	2018	4	30
NanchangSummerIsComing2018	江西	126	2018	5	5
YouMayOpen2018	安徽	73	2018	5	6
FujianChampionship2018	福建	123	2018	5	12
WeihaiOpen2018	山东	186	2018	5	12
ShanghaiLoveinECNU2018	上海	158	2018	5	19
ZHBITOpen2018	广东	82	2018	5	20
TaiwanBlindDay2018	台湾	19	2018	5	20
HUSTOpen2018	湖北	111	2018	5	26
DalianOpen2018	辽宁	140	2018	5	27
CKCubingParty2018	台湾	73	2018	5	27
LishuiUniversityOpen2018	浙江	136	2018	6	2
ZhongshanChildrensCubeDay2018	广东	174	2018	6	2
HarbinOpen2018	黑龙江	134	2018	6	9
GuilinOpen2018	广西	112	2018	6	10
ShijiazhuangOpen2018	河北	150	2018	6	10
NanchangDragonboatOpen2018	江西	95	2018	6	17
TangshanOpen2018	河北	80	2018	6	17
XuzhouOpen2018	江苏	135	2018	6	17
ChangchunOpen2018	吉林	102	2018	6	18
ShenyangOpen2018	辽宁	328	2018	6	23
TianjinSummerOpen2018	天津	177	2018	6	24
PleaseBeQuietBeijing2018	北京	45	2018	6	30
SJTUOpen2018	上海	112	2018	6	30
MaruX2018	台湾	153	2018	6	30
HuizhouOpen2018	广东	72	2018	7	1
LinfenOpen2018	山西	112	2018	7	8
NanchangMediumnSmallCubes2018	江西	91	2018	7	8
HefeiSummer2018	安徽	201	2018	7	14
WuxiTrytoGetaMean2018	江苏	77	2018	7	14
ZhangzhouOpen2018	福建	88	2018	7	14
BaojiOpen2018	陕西	92	2018	7	21
ShenzhenOpen2018	广东	275	2018	7	21
NanningOpen2018	广西	138	2018	7	28
BeijingSummer2018	北京	324	2018	7	29
LongyanOpen2018	福建	105	2018	8	5
MeizhouOpen2018	广东	109	2018	8	5
NingxiaOpen2018	宁夏	78	2018	8	5
ShenyangSummer2018	辽宁	186	2018	8	5
SuzhouOpen2018	江苏	117	2018	8	5
JieyangOpen2018	广东	89	2018	8	12
AsianChampionship2018	台湾	346	2018	8	17
QianjiangSummerOpen2018	湖北	117	2018	8	25
ZhanjiangOpen2018	广东	82	2018	8	26
JiujiangOpen2018	江西	63	2018	9	8
ZhongshanNxNSpeedcubing2018	广东	113	2018	9	9
QuanzhouOpen2018	福建	94	2018	9	16
DongguanMidAutumnFestival2018	广东	107	2018	9	22
WuhanUniversityOpen2018	湖北	76	2018	9	22
ChinaChampionship2018	北京	539	2018	10	2
YunnanOpen2018	云南	79	2018	10	6
KaohsiungAutumnOpen2018	台湾	75	2018	10	7
NingboOpen2018	浙江	116	2018	10	13
LanzhouAutumn2018	甘肃	78	2018	10	14
WuxiAutumn2018	江苏	112	2018	10	20
WITOpen2018	湖北	89	2018	10	21
XianOpen2018	陕西	187	2018	10	27
ShantouOpen2018	广东	85	2018	10	28
HangzhouOpen2018	浙江	185	2018	11	10
MaomingOpen2018	广东	55	2018	11	11
NanjingAutumn2018	江苏	110	2018	11	17
ShenzhenNanshan2018	广东	138	2018	11	18
TaipeiWinterOpen2018	台湾	97	2018	11	18
ChengduWinterOpen2018	四川	133	2018	11	24
FuzhouOpen2018	福建	118	2018	11	24
WuhuOpen2018	安徽	135	2018	11	24
XuzhouWinter2018	江苏	126	2018	11	24
ZiboOpen2018	山东	142	2018	12	1
QinhuangdaoWinter2018	河北	109	2018	12	2
ZhengzhouOpen2018	河南	124	2018	12	2
ChongqingOpen2018	重庆	201	2018	12	8
BignBlindGuangzhou2018	广东	77	2018	12	9
PKU2018	北京	33	2018	12	9
WHUTOpen2018	湖北	81	2018	12	9
XiamenOpen2018	福建	74	2018	12	9
WenzhouOpen2018	浙江	90	2018	12	15
TaiwanChampionship2018	台湾	134	2018	12	15
ShijiazhuangWinter2018	河北	169	2018	12	16
MudanjiangOpen2018	黑龙江	117	2018	12	22
TaiyuanWinter2018	山西	161	2018	12	22
SJTUWinterOpen2018	上海	168	2018	12	30
